State,Denominator,Prevalence,Lower CI,Upper CI,Year,Source,Source_Full1,State_Full1,State_Full2,Numerator_ASD,Numerator_NonASD,Proportion,95_Z_CI,Z_Lower CI,Z_Upper CI,Z_Lower CI_ABSerror,Z_Upper CI_ABSerror,Chi_Wilson_P,95_Chi_Wilson_CI,Chi_Wilson_Lower CI,Chi_Wilson_Upper CI,Chi_Wilson_Lower CI_ABSerror,Chi_Wilson_Upper CI_ABSerror,Chi_Wilson_Corrected_w_minus CI,Chi_Wilson_Corrected_w_plus CI,Chi_Wilson_Corrected_Lower CI,Chi_Wilson_Corrected_Upper CI,Chi_Wilson_Corrected_Lower CI_ABSerror,Chi_Wilson_Corrected_Upper CI_ABSerror,Male Prevalence,Male Lower CI,Male Upper CI,Female Prevalence,Female Lower CI,Female Upper CI,Non-hispanic white Prevalence,Non-hispanic white Lower CI,Non-hispanic white Upper CI,Non-hispanic black Prevalence,Non-hispanic black Lower CI,Non-hispanic black Upper CI,Hispanic Prevalence,Hispanic Lower CI,Hispanic Upper CI,Asian or Pacific Islander Prevalence,Asian or Pacific Islander Lower CI,Asian or Pacific Islander Upper CI
AZ,45322,6.5,5.8,7.3,2000,addm,Autism & Developmental Disabilities Monitoring Network,Arizona,AZ-Arizona,295,45027,0.00650898,0.000740341,5.768638838,7.249321534,0.031361162,0.050678466,0.006550805,0.00074149,5.809314087,7.292295055,0.009314087,0.007704945,0.005798905,0.007303948,5.798905346,7.303948248,0.001094654,0.003948248,9.7,8.5,11.1,3.2,2.5,4,8.6,7.5,9.8,7.3,4.4,12.2,No data,No data,No data,No data,No data,No data
GA,43593,6.5,5.8,7.3,2000,addm,Autism & Developmental Disabilities Monitoring Network,Georgia,GA-Georgia,283,43310,0.006491868,0.000753894,5.737974,7.245761921,0.062026,0.054238079,0.006535353,0.000755114,5.780238704,7.290466415,0.019761296,0.009533585,0.005769431,0.007302595,5.769430727,7.302595287,0.030569273,0.002595287,11,9.7,12.4,2,1.5,2.7,7.9,6.7,9.3,5.3,4.4,6.4,No data,No data,No data,No data,No data,No data
MD,21532,5.5,4.6,6.6,2000,addm,Autism & Developmental Disabilities Monitoring Network,Maryland,MD-Maryland,118,21414,0.005480215,0.000986078,4.494137113,6.466293874,0.105862887,0.133706126,0.005568426,0.000989928,4.57849718,6.558353882,0.02150282,0.041646118,0.004557351,0.006583638,4.557351104,6.583637605,0.042648896,0.016362395,8.6,7.1,10.6,2.2,1.5,2.7,4.9,3.8,6.4,6.1,4.7,8,No data,No data,No data,No data,No data,No data
NJ,29714,9.9,8.9,11.1,2000,addm,Autism & Developmental Disabilities Monitoring Network,New Jersey,NJ-New Jersey,294,29420,0.009894326,0.001125386,8.768940156,11.01971166,0.131059844,0.080288342,0.009957679,0.001127095,8.83058418,11.08477406,0.06941582,0.015225939,0.008814705,0.011102544,8.8147054,11.10254427,0.0852946,0.002544275,14.8,13,16.8,4.3,3.3,5.5,11.3,9.5,13.3,10.6,8.5,13.1,No data,No data,No data,No data,No data,No data
SC,24535,6.3,5.4,7.4,2000,addm,Autism & Developmental Disabilities Monitoring Network,South Carolina,SC-South Carolina,155,24380,0.006317506,0.000991406,5.326099252,7.308911957,0.073900748,0.091088043,0.00639479,0.000994337,5.400452931,7.389126371,0.000452931,0.010873629,0.005381662,0.007411085,5.381662065,7.411084637,0.018337935,0.011084637,9.3,7.8,11.2,3.3,2.4,4.5,6.5,5.2,8.2,5.8,4.5,7.3,No data,No data,No data,No data,No data,No data
WV,23065,4.5,3.7,5.5,2000,addm,Autism & Developmental Disabilities Monitoring Network,West Virginia,WV-West Virginia,104,22961,0.004508996,0.000864629,3.644366969,5.373625661,0.055633031,0.126374339,0.004591506,0.000868486,3.723020598,5.459991874,0.023020598,0.040008126,0.003703408,0.005483723,3.703407981,5.4837228,0.003407981,0.0162772,6.6,5.2,8.2,2.4,1.6,3.5,4.5,3.7,5.5,No data,No data,No data,No data,No data,No data,No data,No data,No data
AL,35472,3.3,2.7,3.9,2002,addm,Autism & Developmental Disabilities Monitoring Network,Alabama,AL-Alabama,117,35355,0.003298376,0.000596675,2.701701064,3.895051304,0.001701064,0.004948696,0.003352161,0.000599062,2.753098784,3.95122306,0.053098784,0.05122306,0.002740271,0.003966581,2.740271433,3.966581197,0.040271433,0.066581197,5,4.1,6.2,1.4,0.9,2.1,3.3,2.6,4.1,3.4,2.4,4.8,1.9,0.5,7.7,No data,No data,No data
AZ,45113,6.2,5.5,7,2002,addm,Autism & Developmental Disabilities Monitoring Network,Arizona,AZ-Arizona,280,44833,0.006206637,0.000724725,5.481911332,6.931362004,0.018088668,0.068637996,0.006248681,0.000725913,5.522767477,6.97459361,0.022767477,0.02540639,0.005512327,0.006986318,5.512327306,6.986317529,0.012327306,0.013682471,10.1,8.8,11.4,2.2,1.7,2.9,7.7,6.7,8.9,6.3,3.8,10.5,3.4,2.6,4.5,2.6,0.8,8
AR,36472,6.9,6.1,7.8,2002,addm,Autism & Developmental Disabilities Monitoring Network,Arkansas,AR-Arkansas,252,36220,0.00690941,0.000850126,6.059284121,7.759535796,0.040715879,0.040464204,0.00696134,0.000851666,6.109674124,7.813005615,0.009674124,0.013005615,0.006096803,0.007827549,6.096802663,7.827548717,0.003197337,0.027548717,10.7,9.3,12.3,2.9,2.2,3.8,7.4,6.5,8.6,5.8,4.3,7.8,2.9,1.3,6.4,No data,No data,No data
CO,11020,5.9,4.6,7.5,2002,addm,Autism & Developmental Disabilities Monitoring Network,Colorado,CO-Colorado,65,10955,0.005898367,0.001429679,4.468687506,7.328045706,0.131312494,0.171954294,0.006070545,0.001439762,4.630783005,7.510307677,0.030783005,0.010307677,0.004590861,0.007561078,4.590861347,7.561077566,0.009138653,0.061077566,9.9,7.6,12.9,1.7,0.9,3.2,6.4,4.8,8.5,6.4,2.9,14.3,2,0.7,5.3,6.3,2,19.6
GA,44299,7.6,6.8,8.5,2002,addm,Autism & Developmental Disabilities Monitoring Network,Georgia,GA-Georgia,337,43962,0.007607395,0.000809116,6.798279035,8.416511367,0.001720965,0.083488633,0.00765009,0.000810207,6.839883312,8.460296914,0.039883312,0.039703086,0.006829192,0.008472177,6.829192308,8.472177375,0.029192308,0.027822625,12.4,11,13.9,2.6,2.3,3.4,8.9,7.7,10.4,6.8,5.7,8,4.6,3,7.1,5,2.7,9.3
MD,29722,6.7,5.8,7.7,2002,addm,Autism & Developmental Disabilities Monitoring Network,Maryland,MD-Maryland,199,29523,0.006695377,0.000927124,5.768253153,7.622501171,0.031746847,0.077498829,0.006759127,0.000929253,5.829873339,7.68838011,0.029873339,0.01161989,0.005814208,0.007706354,5.814207623,7.706353685,0.014207623,0.006353685,10.2,8.7,11.9,3,2.3,4.1,7,5.8,7.3,6.2,4.9,5.8,1.4,0.2,9.7,3.2,1,9.9
MO,28049,7.3,6.4,8.4,2002,addm,Autism & Developmental Disabilities Monitoring Network,Missouri,MO-Missouri,205,27844,0.007308638,0.000996815,6.311823005,8.305453904,0.088176995,0.094546096,0.007376106,0.000999028,6.377077958,8.375133843,0.022922042,0.024866157,0.006360459,0.00839416,6.360458875,8.39416028,0.039541125,0.00583972,11.3,9.7,13.2,3.1,2.3,4.3,7.7,6.5,9,4.7,3.4,6.5,1.8,0.3,13,7.1,2.7,19
NJ,29748,10.6,9.5,11.9,2002,addm,Autism & Developmental Disabilities Monitoring Network,New Jersey,NJ-New Jersey,315,29433,0.010588947,0.001163145,9.425801846,11.75209247,0.074198154,0.147907534,0.010652138,0.001164786,9.487352703,11.81692386,0.012647297,0.083076136,0.009471459,0.011834641,9.471459124,11.8346409,0.028540876,0.065359096,16.8,14.9,19,4,3.1,5.2,12.5,10.7,14.6,7.7,6,9.9,9.7,7.7,12.3,14,9.2,21.2
NC,20725,6.5,5.5,7.7,2002,addm,Autism & Developmental Disabilities Monitoring Network,North Carolina,NC-North Carolina,135,20590,0.006513872,0.00109522,5.418652201,7.609092069,0.081347799,0.090907931,0.006605325,0.00109893,5.506394359,7.70425513,0.006394359,0.00425513,0.005484283,0.007730382,5.484282603,7.730381572,0.015717397,0.030381572,10.6,8.9,12.8,2.1,1.4,3.2,6.4,5.2,8,7.2,5.4,9.6,4.1,2,8.6,1.9,0.3,13.7
PA,21061,5.3,4.4,6.3,2002,addm,Autism & Developmental Disabilities Monitoring Network,Pennsylvania,PA-Pennsylvania,112,20949,0.005317886,0.000982246,4.335640141,6.300132139,0.064359859,0.000132139,0.005408098,0.000986291,4.421807359,6.394388873,0.021807359,0.094388873,0.004400245,0.006420294,4.400244628,6.420293727,0.000244628,0.120293727,8.7,7.1,10.6,1.8,1.2,2.9,7.6,5.7,10.2,4.2,3.2,5.6,4.7,2.8,8,1.2,0.2,8.2
SC,23191,6,5.1,7.1,2002,addm,Autism & Developmental Disabilities Monitoring Network,South Carolina,SC-South Carolina,139,23052,0.005993704,0.000993415,5.000289753,6.987119156,0.099710247,0.112880844,0.00607552,0.000996696,5.07882415,7.072216388,0.02117585,0.027783612,0.005059039,0.007095541,5.059038755,7.095540809,0.040961245,0.004459191,9.2,7.6,11.1,2.7,1.9,3.9,6,4.8,7.6,5.5,4.2,7.1,4.4,1.4,13.6,4.5,0.6,32
UT,26108,7.5,6.5,8.6,2002,addm,Autism & Developmental Disabilities Monitoring Network,Utah,UT-Utah,196,25912,0.007507277,0.001047047,6.460230435,8.55432449,0.039769565,0.04567551,0.007579731,0.001049474,6.530256815,8.62920482,0.030256815,0.02920482,0.006512431,0.008649674,6.512431237,8.649674327,0.012431237,0.049674327,12.7,11,14.8,2,1.3,2.9,8,6.9,9.3,5.5,1.4,22,4.4,2.6,7.2,2.2,0.6,8.8
WV,21472,7.1,6.1,8.3,2002,addm,Autism & Developmental Disabilities Monitoring Network,West Virginia,WV-West Virginia,152,21320,0.007078987,0.001121385,5.9576016,8.200371574,0.1423984,0.099628426,0.007167157,0.001124746,6.042411168,8.291903015,0.057588832,0.008096985,0.006020956,0.008317009,6.020955828,8.317008577,0.079044172,0.017008577,11,9.2,13.1,3,2.1,4.2,6.8,5.7,8,6.4,2.9,14.2,No data,No data,No data,No data,No data,No data
