"State","Denominator","Prevalence","Lower.CI","Upper.CI","Year","Source","Source_Full1","State_Full1","State_Full2","Numerator_ASD","Numerator_NonASD","Proportion","Chi_Wilson_Corrected_Lower.CI","Chi_Wilson_Corrected_Upper.CI","Male.Prevalence","Male.Lower.CI","Male.Upper.CI","Female.Prevalence","Female.Lower.CI","Female.Upper.CI","Non.hispanic.white.Prevalence","Non.hispanic.white.Lower.CI","Non.hispanic.white.Upper.CI","Non.hispanic.black.Prevalence","Non.hispanic.black.Lower.CI","Non.hispanic.black.Upper.CI","Hispanic.Prevalence","Hispanic.Lower.CI","Hispanic.Upper.CI","Asian.or.Pacific.Islander.Prevalence","Asian.or.Pacific.Islander.Lower.CI","Asian.or.Pacific.Islander.Upper.CI","Source_UC","Source_Full3","Prevalence_Risk2","Prevalence_Risk4","Year_Factor"
"AZ",45322,6.5,5.8,7.3,2000,"addm","Autism & Developmental Disabilities Monitoring Network","Arizona","AZ-Arizona",295,45027,0.00650898,5.798905346,7.303948248,9.7,8.5,11.1,3.2,2.5,4,8.6,7.5,9.8,7.3,4.4,12.2,NA,NA,NA,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2000"
"GA",43593,6.5,5.8,7.3,2000,"addm","Autism & Developmental Disabilities Monitoring Network","Georgia","GA-Georgia",283,43310,0.006491868,5.769430727,7.302595287,11,9.7,12.4,2,1.5,2.7,7.9,6.7,9.3,5.3,4.4,6.4,NA,NA,NA,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2000"
"MD",21532,5.5,4.6,6.6,2000,"addm","Autism & Developmental Disabilities Monitoring Network","Maryland","MD-Maryland",118,21414,0.005480215,4.557351104,6.583637605,8.6,7.1,10.6,2.2,1.5,2.7,4.9,3.8,6.4,6.1,4.7,8,NA,NA,NA,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2000"
"NJ",29714,9.9,8.9,11.1,2000,"addm","Autism & Developmental Disabilities Monitoring Network","New Jersey","NJ-New Jersey",294,29420,0.009894326,8.8147054,11.10254427,14.8,13,16.8,4.3,3.3,5.5,11.3,9.5,13.3,10.6,8.5,13.1,NA,NA,NA,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2000"
"SC",24535,6.3,5.4,7.4,2000,"addm","Autism & Developmental Disabilities Monitoring Network","South Carolina","SC-South Carolina",155,24380,0.006317506,5.381662065,7.411084637,9.3,7.8,11.2,3.3,2.4,4.5,6.5,5.2,8.2,5.8,4.5,7.3,NA,NA,NA,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2000"
"WV",23065,4.5,3.7,5.5,2000,"addm","Autism & Developmental Disabilities Monitoring Network","West Virginia","WV-West Virginia",104,22961,0.004508996,3.703407981,5.4837228,6.6,5.2,8.2,2.4,1.6,3.5,4.5,3.7,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","Low","Low","2000"
"AL",35472,3.3,2.7,3.9,2002,"addm","Autism & Developmental Disabilities Monitoring Network","Alabama","AL-Alabama",117,35355,0.003298376,2.740271433,3.966581197,5,4.1,6.2,1.4,0.9,2.1,3.3,2.6,4.1,3.4,2.4,4.8,1.9,0.5,7.7,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","Low","Low","2002"
"AZ",45113,6.2,5.5,7,2002,"addm","Autism & Developmental Disabilities Monitoring Network","Arizona","AZ-Arizona",280,44833,0.006206637,5.512327306,6.986317529,10.1,8.8,11.4,2.2,1.7,2.9,7.7,6.7,8.9,6.3,3.8,10.5,3.4,2.6,4.5,2.6,0.8,8,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"AR",36472,6.9,6.1,7.8,2002,"addm","Autism & Developmental Disabilities Monitoring Network","Arkansas","AR-Arkansas",252,36220,0.00690941,6.096802663,7.827548717,10.7,9.3,12.3,2.9,2.2,3.8,7.4,6.5,8.6,5.8,4.3,7.8,2.9,1.3,6.4,NA,NA,NA,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"CO",11020,5.9,4.6,7.5,2002,"addm","Autism & Developmental Disabilities Monitoring Network","Colorado","CO-Colorado",65,10955,0.005898367,4.590861347,7.561077566,9.9,7.6,12.9,1.7,0.9,3.2,6.4,4.8,8.5,6.4,2.9,14.3,2,0.7,5.3,6.3,2,19.6,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"GA",44299,7.6,6.8,8.5,2002,"addm","Autism & Developmental Disabilities Monitoring Network","Georgia","GA-Georgia",337,43962,0.007607395,6.829192308,8.472177375,12.4,11,13.9,2.6,2.3,3.4,8.9,7.7,10.4,6.8,5.7,8,4.6,3,7.1,5,2.7,9.3,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
"MD",29722,6.7,5.8,7.7,2002,"addm","Autism & Developmental Disabilities Monitoring Network","Maryland","MD-Maryland",199,29523,0.006695377,5.814207623,7.706353685,10.2,8.7,11.9,3,2.3,4.1,7,5.8,7.3,6.2,4.9,5.8,1.4,0.2,9.7,3.2,1,9.9,"ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Medium","2002"
