"State","Denominator","Prevalence","Lower.CI","Upper.CI","Year","Source","Source_Full1","State_Full1","State_Full2","Numerator_ASD","Numerator_NonASD","Proportion","Chi_Wilson_Corrected_Lower.CI","Chi_Wilson_Corrected_Upper.CI","Male.Prevalence","Male.Lower.CI","Male.Upper.CI","Female.Prevalence","Female.Lower.CI","Female.Upper.CI","Non.hispanic.white.Prevalence","Non.hispanic.white.Lower.CI","Non.hispanic.white.Upper.CI","Non.hispanic.black.Prevalence","Non.hispanic.black.Lower.CI","Non.hispanic.black.Upper.CI","Hispanic.Prevalence","Hispanic.Lower.CI","Hispanic.Upper.CI","Asian.or.Pacific.Islander.Prevalence","Asian.or.Pacific.Islander.Lower.CI","Asian.or.Pacific.Islander.Upper.CI","State_Region","Source_UC","Source_Full3","Prevalence_Risk2","Prevalence_Risk4","Year_Factor","R10_Denominator","RMD_Year","RMD_R10_Denominator"
"TX",1054202,1.6,1.6,1.7,2001,"medi","Medicaid","Texas","TX-Texas",1687,1052515,0.001600263,1.525292562,1.67888742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D7 West South Central","MEDI","MEDI Medicaid","Low","Low",2001,6.02292383581001,-1.01173613921489,0.793470876636334
"WY",33297,5.4,4.7,6.3,2007,"medi","Medicaid","Wyoming","WY-Wyoming",180,33117,0.005405892,4.659405809,6.268657846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","High","Medium",2007,4.5224051061148,0,-1.71443851446319
"MI",1407009,9.5,9.4,9.7,2012,"sped","Special Education Child Count","Michigan","MI-Michigan",13367,1393642,0.009500295,9.340990084,9.662283394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","SPED","SPED Special Education Child Count","High","Medium",2012,6.14829687542894,0.843113449345744,1.00301456124923
"CA",3279839,4.9,4.8,4.9,2011,"medi","Medicaid","California","CA-California",16071,3263768,0.004899936,4.824791888,4.97624148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","MEDI","MEDI Medicaid","Low","Low",2011,6.51585252568494,0.674490759476595,1.61733296247035
"PA",1626936,11.7,11.5,11.9,2011,"sped","Special Education Child Count","Pennsylvania","PA-Pennsylvania",19035,1607901,0.011699907,11.53551736,11.86660696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 Middle Atlantic","SPED","SPED Special Education Child Count","High","High",2011,6.21137046910556,0.674490759476595,1.1084333439552
"MN",9767,24,21.1,27.2,2014,"addm","Autism & Developmental Disabilities Monitoring Network","Minnesota","MN-Minnesota",234,9533,0.023958227,21.05949525,27.23758021,39,33.8,44.9,8.5,6.3,11.6,24.3,19.8,29.8,27.2,21.7,34.2,20.9,14.7,29.7,17.8,12.3,25.7,"D4 West North Central","ADDM","ADDM Autism & Developmental Disabilities Monitoring Network","High","Very High",2014,3.98976118771878,1.18035882908404,-2.60467910834685
"NJ",448538,7.1,6.8,7.3,2009,"medi","Medicaid","New Jersey","NJ-New Jersey",3185,445353,0.007100848,6.858209369,7.35196691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D2 Middle Atlantic","MEDI","MEDI Medicaid","High","Medium",2009,5.65179924223233,0.337245379738298,0.173187480580011
"NM",303454,4.4,4.1,4.6,2010,"sped","Special Education Child Count","New Mexico","NM-New Mexico",1335,302119,0.004399349,4.168465206,4.642867795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","SPED","SPED Special Education Child Count","Low","Low",2010,5.48209286654713,0.505868069607446,-0.110453239717319
"RI",76442,11.3,10.6,12.1,2006,"medi","Medicaid","Rhode Island","RI-Rhode Island",864,75578,0.011302687,10.57115032,12.08376693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1 New England","MEDI","MEDI Medicaid","High","High",2006,4.8833320412506,-0.168622689869149,-1.11119909317873
"SD",110296,3.9,3.6,4.3,2006,"sped","Special Education Child Count","South Dakota","SD-South Dakota",430,109866,0.0038986,3.543390188,4.288791409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","SPED","SPED Special Education Child Count","Low","Low",2006,5.04255976258137,-0.168622689869149,-0.845071993432397
"MN",792766,19.4,19.1,19.7,2016,"sped","Special Education Child Count","Minnesota","MN-Minnesota",15380,777386,0.019400428,19.09850541,19.70701861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","SPED","SPED Special Education Child Count","High","High",2016,5.89914501593607,1.51760420882234,0.586591709693759
"ND",87704,6.6,6.1,7.2,2011,"sped","Special Education Child Count","North Dakota","ND-North Dakota",579,87125,0.006601751,6.081509944,7.165672157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","SPED","SPED Special Education Child Count","High","Medium",2011,4.9430194011005,0.674490759476595,-1.01143993167334
"NH",167477,13.2,12.6,13.7,2015,"sped","Special Education Child Count","New Hampshire","NH-New Hampshire",2211,165266,0.013201813,12.66330607,13.76277253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1 New England","SPED","SPED Special Education Child Count","High","High",2015,5.22395517281201,1.34898151895319,-0.54189466960641
"IA",429258,1.5,1.4,1.6,2010,"sped","Special Education Child Count","Iowa","IA-Iowa",644,428614,0.001500263,1.387735504,1.621802813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","SPED","SPED Special Education Child Count","Low","Low",2010,5.63271839777234,0.505868069607446,0.141296489775086
"UT",476054,3.9,3.7,4.1,2006,"sped","Special Education Child Count","Utah","UT-Utah",1857,474197,0.003900818,3.726678386,4.083011397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","SPED","SPED Special Education Child Count","Low","Low",2006,5.67765621862778,-0.168622689869149,0.216403838126417
"NC",627426,6.6,6.4,6.8,2007,"medi","Medicaid","North Carolina","NC-North Carolina",4141,623285,0.006599982,6.40184028,6.804188485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","High","Medium",2007,5.79756251152871,0,0.416810612175324
"WY",40380,9.5,8.6,10.5,2012,"medi","Medicaid","Wyoming","WY-Wyoming",384,39996,0.009509658,8.596826768,10.51702328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D8 Mountain","MEDI","MEDI Medicaid","High","Medium",2012,4.60616631460762,0.843113449345744,-1.57444324667225
"NE",273431,9.5,9.1,9.8,2014,"sped","Special Education Child Count","Nebraska","NE-Nebraska",2598,270833,0.009501483,9.142898078,9.87391916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D4 West North Central","SPED","SPED Special Education Child Count","High","Medium",2014,5.43684775077944,1.18035882908404,-0.186074188986111
"CA",5783968,6.8,6.7,6.9,2008,"sped","Special Education Child Count","California","CA-California",39331,5744637,0.006800003,6.733269522,6.867392533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D9 Pacific","SPED","SPED Special Education Child Count","High","Medium",2008,6.76222588154411,0.168622689869149,2.0291119297355
"DE",60841,4.6,4.1,5.2,2008,"medi","Medicaid","Delaware","DE-Delaware",280,60561,0.00460216,4.086994481,5.180833414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5 South Atlantic","MEDI","MEDI Medicaid","Low","Low",2008,4.78419634362739,0.168622689869149,-1.27689069178539
"WI",408449,6.5,6.3,6.8,2011,"medi","Medicaid","Wisconsin","WI-Wisconsin",2655,405794,0.0065002,6.2571486,6.752579205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D3 East North Central","MEDI","MEDI Medicaid","High","Medium",2011,5.61113783711981,0.674490759476595,0.105227569304732
"VT",84893,3.5,3.1,3.9,2006,"sped","Special Education Child Count","Vermont","VT-Vermont",297,84596,0.003498522,3.117619471,3.925021014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1 New England","SPED","SPED Special Education Child Count","Low","Low",2006,4.92887188121325,-0.168622689869149,-1.03508555320665
"ME",69466,9.8,9.1,10.6,2000,"medi","Medicaid","Maine","ME-Maine",681,68785,0.009803357,9.090378299,10.57108058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D1 New England","MEDI","MEDI Medicaid","High","Medium",2000,4.84177229199452,-1.18035882908404,-1.18066046236284
