year,gender,newborns
1984,Males,21661
1984,Females,19894
1984,Unknown,1
1985,Males,22027
1985,Females,20452
1985,Unknown,5
1986,Males,19929
1986,Females,18447
1986,Unknown,3
1987,Males,22570
1987,Females,21042
1987,Unknown,4
1988,Males,27332
1988,Females,25624
1988,Unknown,1
1989,Males,24712
1989,Females,22951
1989,Unknown,6
1990,Males,26500
1990,Females,24641
1990,Unknown,1
1991,Males,25314
1991,Females,23798
1991,Unknown,2
1992,Males,25465
1992,Females,23936
1992,Unknown,1
1993,Males,25948
1993,Females,24274
1993,Unknown,3
1994,Males,25541
1994,Females,24013
1994,Unknown,0
1995,Males,25295
1995,Females,23339
1995,Unknown,1
1996,Males,25306
1996,Females,23269
1996,Unknown,2
1997,Males,24553
1997,Females,22778
1997,Unknown,2
1998,Males,22505
1998,Females,21158
1998,Unknown,1
1999,Males,22572
1999,Females,20763
1999,Unknown,1
2000,Males,24509
2000,Females,22488
2000,Unknown,0
2001,Males,21494
2001,Females,19957
2001,Unknown,0
2002,Males,20977
2002,Females,19780
2002,Unknown,3
2003,Males,19268
2003,Females,18217
2003,Unknown,0
2004,Males,19221
2004,Females,17953
2004,Unknown,0
2005,Males,19352
2005,Females,18140
2005,Unknown,0
2006,Males,19750
2006,Females,18567
2006,Unknown,0
2007,Males,20438
2007,Females,19051
2007,Unknown,1
2008,Males,20500
2008,Females,19326
2008,Unknown,0
2009,Males,20502
2009,Females,19068
2009,Unknown,0
2010,Males,19643
2010,Females,18323
2010,Unknown,1
2011,Males,20434
2011,Females,19220
2011,Unknown,0
2012,Males,22102
2012,Females,20561
2012,Unknown,0
2013,Males,20528
2013,Females,19191
2013,Unknown,1
2014,Males,21679
2014,Females,20552
2014,Unknown,1
2015,Males,21755
2015,Females,20430
2015,Unknown,0
2016,Males,21315
2016,Females,19936
2016,Unknown,0
2017,Males,20408
2017,Females,19207
2017,Unknown,0
2018,Males,20093
2018,Females,18945
2018,Unknown,1
